Committee(s) (modern name as of 2020),Subcommittee(s) (name at time of hearing),Title,Link,Hearing Date,Sortable Hearing Date,Chamber,Majority,Topic areas,Description,Event,ID,Witness 1,Witness 1 Federal Employee?,Witness 2,Witness 2 Federal Employee?,Witness 3,Witness 3 Federal Employee?,Witness 4,Witness 4 Federal Employee?,Witness 5,Witness 5 Federal Employee?,Witness 6,Witness 6 Federal Employee?,Witness 7,Witness 7 Federal Employee?,Witness 8,Witness 8 Federal Employee?,Witness 9,Witness 9 Federal Employee?,Witness 10,Witness 10 Federal Employee?,Witness 11,Witness 11 Federal Employee?,Witness 12,Witness 12 Federal Employee?,Witness 13,Witness 13 Federal Employee?,Witness 14,Witness 14 Federal Employee?,Witness 15,Witness 15 Federal Employee?,Witness 16,Witness 16 Federal Employee?
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies","Departments of Labor, Health and Human Services, Education, and Related Agencies Appropriations for 2005",https://books.google.com/books/about/Departments_of_Labor_Health_and_Human_Se.html?id=uHoWlbq2cz4C,"October 5, 2004",2004-10-05,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on the Departments of Labor, Health and Human Services, Education, and Related Agencies held a hearing on influenza vaccine. The Subcommittee discussed a proposed appropriations bill amendment that would have prohibited prevented the use of funds to purchase any flu vaccine containing thimerosal for children and its potential impacts on flu rates. The Subcommittee focused extensively on the safety of the vaccine.",,712,Julie Gerberding,1,William Egan,1,Anthony Fauci,1,Marie McCormick,0,Thomas Burbacher,0,Mady Hornig,0,Richard Deth,0,,,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Funding Needs for Pandemic Influenza Preparedness,https://www.govinfo.gov/app/details/CHRG-109shrg25120/CHRG-109shrg25120,"November 2, 2005",2005-11-02,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a special hearing to examine funding needs for pandemic influenza preparedness pursuant to the President's request for appropriations for avian influenza preparedness. Discussion focused on disease surveillance, vaccines, antivirals, public health infrastructure, and risk communication.",2005 H5N1,869,Michael Leavitt,1,Julie Gerberding,1,Anthony Fauci,1,Bruce Gellin,1,John Barry,0,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Pandemic Influenza Preparedness,https://www.govinfo.gov/app/details/CHRG-109shrg31810/CHRG-109shrg31810,"January 31, 2006",2006-01-31,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a hearing to examine pandemic influenza preparedness at federal, state and local levels. Witnesses included experts from across governmental levels, the private sector, and academia. Discussion looked at preparedness efforts and paid special attention to the ongoing H5N1 avian influenza outbreak in Turkey and what it might mean for the United States.",2005 H5N1,876,John Agwunobi,1,Julie Gerberding,1,Mary Mincer Hansen,0,Calvin Johnson,0,Bruce Dixon,0,Joanne Godley,0,Richard Webby,0,George Abercrombie,0,Daniel Soland,0,Christopher Viehbacher,0,John Barry,0,,,,,,,,,,
Senate Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Pandemic Influenza: Progress Made and Challenges Ahead,https://www.govinfo.gov/app/details/CHRG-110shrg41637/CHRG-110shrg41637,"January 24, 2007",2007-01-24,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a hearing on pandemic influenza, focusing on progress toward and barriers to developing medical countermeasures—especially vaccines, antiviral therapies, and diagnostics. The subcommittee heard testimony from senior officials in the Department of Health and Human Services (HHS) and an outside medical expert. Conversation centered on funding needs and barriers to consistent funding for public health (including at the Center for Disease Control and Prevention); the most promising technologies for flu vaccine manufacturing (including cell-based and egg-based manufacturing); and how the Pandemic and All-Hazards Preparedness Act altered the federal government's approach to the development of medical countermeasures.",,888,Anthony Fauci,1,Julie Gerberding,1,Gerald Parker,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Appropriations (US),,U.S. Government Response: Fighting Ebola and Protecting America,https://www.hsdl.org/?view&did=759490,"November 12, 2014",2014-11-12,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Appropriations held a hearing to evaluate the U.S. government's actions to contain the West Africa Ebola epidemic, limit case importation to the United States, and address and treat cases in the United States. The Committee heard testimony from senior officials across the U.S. government and considered the Obama Administration's emergency Ebola funding request. Conversation centered on necessary response activities in West Africa, the roles of various U.S. agencies and the U.S. military in collaboration with other organizations to conduct the response abroad, screening for cases at American ports of entry, the development and regulation of medical countermeasures, and hospital preparedness in the United States.",2014-2016 Ebola (West Africa),911,Sylvia Burwell,1,Jeh Johnson,1,Heather Higginbottom,1,Michael Lumpkin,1,,,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Appropriations (US),Senate Committee on Health, Education, Labor and Pensions (US)","Subcommittee on Labor, Health and Human Services, Education and Related Agencies",Ebola in West Africa: A Global Challenge and Public Health Threat,https://www.govinfo.gov/app/details/CHRG-113shrg24456/CHRG-113shrg24456,"September 16, 2014",2014-09-16,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions and the Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education and Related Agencies jointly held a hearing on the growing West Africa Ebola epidemic and the funding needs of the U.S. government to help address it. The committees heard testimony from senior officials within the Department of Health and Human Services and individuals from the nonprofit sector. Conversation focused on the nature of the epidemic, the threat it posed in West Africa and to U.S. citizens, the need for health system strengthening around the world, and the development of medical countermeasures to combat Ebola.",2014-2016 Ebola (West Africa),910,Beth Bell,1,Anthony Fauci,1,Robin Robinson,1,Ishmeal Alfred Charles,0,Kent Brantly,0,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Appropriations (US),Senate Committee on Veterans’ Affairs (US)","Subcommittee on Labor, Health and Human Services, Education, and Related Agencies ",Bioterrorism - Domestic Weapons of Mass Destruction,https://www.govinfo.gov/app/details/CHRG-106shrg57119/CHRG-106shrg57119,"March 16, 1999",1999-03-16,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies and the Committee on Veteran's Affairs held a joint hearing on the roles and preparedness of the Department of Health and Human Services and the Department of Veterans Affairs to respond to a domestic chemical or biological weapons attack. The committees also discussed how to partner federal investments with existing grassroots public health organizations and infrastructure to improve medical response.",,847,Kenneth Kizer,1,Margaret Hamburg,1,Henry Hinton Jr.,1,Joshua Lederberg,0,Donald Henderson,0,Robert Myers,0,,,,,,,,,,,,,,,,,,,,
Senate Committee on Armed Services (US),Subcommittee on Emerging Threats,The Dark Winter Scenario and Bioterrorism,https://www.govinfo.gov/app/details/CHRG-107shrg79479/CHRG-107shrg79479,"October 25, 2001",2001-10-25,Senate,D,Strategic planning,"The Senate Committee on Armed Services Subcommittee on Emerging Threats held hearings, in closed and open session, to examine the Dark Winter scenario designed to assess the national security, intergovernmental, and information challenges of a biologic attack on the American homeland. Members discussed how to improve public health and medical infrastructure so that it was on the same level as research in the country. ",,852,Sam Nunn,0,John Hamre,0,Tara O'Toole,0,Randall Larsen,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Armed Services (US),Subcommittee on Emerging Threats and Capabilities,Biological Threats to United States National Security,https://www.govinfo.gov/app/details/CHRG-116shrg41309/CHRG-116shrg41309,"November 20, 2019",2019-11-20,Senate,R,Threat / risk awareness,"The Senate Committee on Armed Services Subcommittee on Emerging Threats and Capabilities held a hearing in response to the Center for Strategic and International Studies' Commission on Strengthening Health Security report, ""Ending the Cycle of Crisis and Complacency in U.S. Global Health Security."" The committee received testimony on the magnitude of the threat of biological events (including emerging infectious disease, intentional biological attacks, and biological accidents) to the United States. The hearing also focused on U.S. efforts to mitigate that threat through implementing the 2018 National Biodefense Strategy, stockpiling medical countermeasures in the Strategic National Stockpile, innovation in biotechnology, and the activities of Department of Defense.",,939,Thomas Inglesby,0,Tara O'Toole,0,Julie Gerberding,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Armed Services (US),,Department of Defense Anthrax Vaccine Immunization Program - Part 1,https://www.google.com/books/edition/Department_of_Defense_Anthrax_Vaccine_Im/AX-RU_AHMp8C?hl=en&gbpv=0,"April 13, 2000",2000-04-13,Senate,R,Medical preparedness / emergency response,The Senate Committee on Armed Services convened a two-hearing series on the U.S. Department of Defense anthrax vaccine immunization program. Federal witnesses were invited to testify to the controversial program to vaccinate service members as part of a medical preparedness effort for potential anthrax exposure. Conversation emphasized the safety and efficacy of the vaccine and the validity of the perceived threat.,,3335,Lowell Jacoby,1,Rudy de Leon,1,Ronald Blanck,1,Randall West,1,Carol Schuster,1,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Armed Services (US),,Department of Defense Anthrax Vaccine Immunization Program - Part 2,https://www.google.com/books/edition/Department_of_Defense_Anthrax_Vaccine_Im/AX-RU_AHMp8C?hl=en&gbpv=0,"July 12, 2000",2000-07-12,Senate,R,Medical preparedness / emergency response,The Senate Committee on Armed Services convened a two-hearing series on the U.S. Department of Defense anthrax vaccine immunization program. Federal witnesses were invited to testify to the controversial program to vaccinate service members as part of a medical preparedness effort for potential anthrax exposure. Conversation emphasized the safety and efficacy of the vaccine and the validity of the perceived threat.,,3336,Rudy de Leon,1,J. Jarrett Clinton,1,Randall West,1,David Oliver,1,Robert Lieberman,1,Kathryn Zoon,1,Anna Johnson-Winegar,1,,,,,,,,,,,,,,,,,,
"Senate Committee on Commerce, Science, and Transportation (US)","Subcommittee on Trade, Tourism, and Economic Development",The State of the U.S. Travel and Tourism Industry,https://www.govinfo.gov/app/details/CHRG-109shrg66404/CHRG-109shrg66404,"June 22, 2006",2006-06-22,Senate,R,Other,"The Senate Committee on Commerce, Science, and Transportation Subcommittee on Trade, Tourism, and Economic Development held a hearing on challenges facing the air travel and tourism industries, with one focus being the challenges posed by pandemic disease such as severe acute respiratory syndrome (SARS). The subcommittee heard testimony from officials across the federal government and industry representatives. Topics discussed included the U.S. government's implementation of travel restrictions to combat pandemic disease and the threat of pandemic influenza to airlines, the travel industry, and the broader economy.",,886,Franklin Lavin,1,Wanda Nesbitt,1,Robert Jacksta,1,James LeDuc,1,Todd Davidson,0,Jay Rasulo,0,Jonathan Tisch,0,Virginia Pressler,0,,,,,,,,,,,,,,,,
Senate Committee on Energy and Natural Resources (US),,Homeland Security,https://www.govinfo.gov/app/details/CHRG-107shrg82985/CHRG-107shrg82985,"July 10, 2002",2002-07-10,Senate,D,Other,"The Senate Committee on Energy and Natural Resources held a hearing to evaluate the past and present contributions of the national laboratories of the Department of Energy and National Nuclear Security Administration in protecting U.S. homeland security. The hearing explored how the new Department of Homeland Security might affect ongoing research programs, touching on issues including biosurveillance, environmental monitoring, and medical countermeasures. The Committee concluded that the Bush Administration should draw on existing capabilities in national laboratories, industry, and universities in order to promote homeland security. ",,857,Linton Brooks,1,Raymond Orbach,1,C. Paul Robinson,1,Harvey Drucker,1,Michael Anastasio,1,Don Cobb,1,Billy Shipp,1,William Happer,0,,,,,,,,,,,,,,,,
Senate Committee on Foreign Relations (US),Subcommittee on Africa and Global Health Policy,A Progress Report on the West Africa Ebola Epidemic,https://www.govinfo.gov/app/details/CHRG-114shrg30396/CHRG-114shrg30396,"April 7, 2016",2016-04-07,Senate,R,International aid / collaboration,"The Senate Committee on Foreign Relations Subcommittee on Africa and Global Health Policy held a hearing to examine the international response to the West Africa Ebola epidemic, which was subsiding at the time of the hearing. The subcommittee heard testimony from leaders from non-governmental organizations and the private sector. Conversation focused on the successes and failures of the United States and other actors in responding to the pandemic, as well as the ideal U.S. role of in health system strengthening and public health emergency response abroad.",2014-2016 Ebola (West Africa),924,Alan Knight,0,Raj Panjabi,0,Amanda Glassman,0,Sophie Delaunay,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Foreign Relations (US),Subcommittee on Africa and Global Health Policy,Confronting Ebola: Addressing a 21st Century Global Health Crisis,https://www.govinfo.gov/app/details/CHRG-116shrg40600/CHRG-116shrg40600,"July 24, 2019",2019-07-24,Senate,R,International aid / collaboration,"The Senate Committee on Foreign Relations Subcommittee on Africa and Global Health Policy held a hearing on the Ebola outbreak in the Democratic Republic of Congo. The Committee heard testimony from U.S. government officials from the Centers for Disease Control and Prevention, Department of State, and U.S. Agency for International Development. The hearing focused on how the United States could work with partners (including the World Health Organization) to address the epidemic in a conflict-affected area, and the value of international aid for addressing and preventing health emergencies.",2018-2020 Ebola (DRC),938,Tibor Nagy,1,Marcia Bernicat,1,R. Timothy Ziemer,1,Mitch Wolfe,1,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Foreign Relations (US),Subcommittee on African Affairs,The Ebola Epidemic: The Keys to Success for the International Response,https://www.govinfo.gov/app/details/CHRG-113shrg94193/CHRG-113shrg94193,"December 10, 2014",2014-12-10,Senate,D,International aid / collaboration,"The Senate Committee on Foreign Relations Subcommittee on African Affairs held a hearing on the international response to the West Africa Ebola epidemic, including the role of the U.S. government. The subcommittee heard testimony from the president of Liberia and individuals from non-governmental organizations. Conversation centered on U.S. actions in fighting the epidemic, the role of U.S. collaboration with non-governmental organizations and other states, and the value of investing in health system strengthening and public health emergency preparedness in sub-Saharan Africa.",2014-2016 Ebola (West Africa),914,Ellen Johnson Sirleaf,0,Paul Farmer,0,E. Anne Peterson,0,Pape Gaye,0,Javier Alvarez,0,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Foreign Relations (US),,Avian Influenza: Are We Prepared? ,https://www.govinfo.gov/app/details/CHRG-109shrg30423/CHRG-109shrg30423,"November 9, 2005",2005-11-09,Senate,R,Medical preparedness / emergency response,The Senate Committee on Foreign Relations held a hearing to examine the need for a response strategy to address the threat of H5N1 avian influenza. Discussion focused on measures to stop the spread of the virus in Asia and to prevent a pandemic. Members also considered how to respond to H5N1 if it did enter the United States.,2005 H5N1,872,Andrew Natsios,1,Paula Dobriansky,1,Julie Gerberding,1,Anthony Fauci,1,Laurie Garrett,0,James Newcomb,0,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",Subcommittee on Bioterrorism and Public Health Preparedness,Biodefense: Next Steps,https://www.govinfo.gov/app/details/CHRG-109shrg98930/CHRG-109shrg98930,"February 8, 2005",2005-02-08,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions Subcommittee on Bioterrorism and Public Health Preparedness held a hearing to examine next steps in biodefense, addressing such programs as the National Institute of Health's biodefense research portfolio and the Department of Health and Human Services' medical countermeasure acquisition program, Project BioShield. The hearing reviewed advancements in the the development of medical countermeasures for a bioterrorist attack. Discussion also emphasized a perceived lack of preparedness for naturally occurring diseases. ",,714,Anthony Fauci,1,Penrose Albright,1,Gerald Epstein,0,Gordon Cameron,0,Jon Abramson,0,George Painter,0,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",Subcommittee on Bioterrorism and Public Health Preparedness,Twenty-First Century Biological Threats,https://www.govinfo.gov/app/details/CHRG-109shrg21273/CHRG-109shrg21273,"May 11, 2005",2005-05-11,Senate,R,Threat / risk awareness,"The Senate Committee on Health, Education, Labor and Pensions Subcommittee on Bioterrorism and Public Health Preparedness held a hearing on contemporary and emerging bioterrorism threats. The Subcommittee emphasized the need for a biodefense system that worked well against both deliberate, accidental, and natural biological threats. ",,716,John Deutch,0,J. Craig Venter,0,Guenael Rodier,0,Harvey Fineberg,0,Shelley Hearne,0,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",Subcommittee on Bioterrorism and Public Health Preparedness,Crossing the Valley of Death: Bringing Promising Medical Countermeasures to BioShield,https://www.govinfo.gov/app/details/CHRG-109shrg21847/CHRG-109shrg21847,"June 9, 2005",2005-06-09,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions Subcommittee on Bioterrorism and Public Health Preparedness held a hearing to examine promising medical countermeasures. Discussed considered the Project BioShield Act of 2004. It also addressed the Administration's priority to have an appropriate armamentarium of medical countermeasures as a critical aspect of the response and recovery component of the President's ""Biodefense for the 21st Century"" strategy.",,867,John Vitko,1,William Raub,1,Carole Heilman,1,Joseph Palma,1,Alan Timmins,0,Richard Frothingham,0,David Wright,0,Scott Magids,0,Philip Russell,0,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",Subcommittee on Bioterrorism and Public Health Preparedness,Roundtable Discussion: When Terror Strikes - Preparing an Effective and Immediate Public Health Response,https://www.govinfo.gov/app/details/CHRG-109shrg22568/CHRG-109shrg22568,"July 14, 2005",2005-07-14,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions Subcommittee on Bioterrorism and Public Health Preparedness held a hearing to discuss preparing an effective and immediate public health response in the aftermath of a terrorism attack. They discussed the lack of a supply store in the event that a medical and public health surge on supplies was needed. Others expressed concerns about how reliance on vaccines may not prove useful in the event of an emerging disease. (Following the release of the initial hearing report, the Government Printing Office released an addendum containing additional hearing materials. These materials have been appended to the PDF available here.)",,720,Leah Devlin,0,Tara O'Toole,0,Elin Gursky,0,John Clerici,0,George Barrett,0,Churck Ludlam,0,David Wright,0,Clay Elward,0,Bronwen Kaye,0,George Conk,0,David Franz,0,John Pournoor,0,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",Subcommittee on Bioterrorism and Public Health Preparedness,Roundtable Discussion: Preparing a National Biodefense: S. 975,https://www.govinfo.gov/app/details/CHRG-109shrg22683/CHRG-109shrg22683,"July 21, 2005",2005-07-21,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions Subcommittee on Bioterrorism and Public Health Preparedness held a hearing examining S. 975, a bill designed to provide incentives to increase private sector research to develop medical countermeasures to prevent, detect, identify, contain, and treat illnesses for chemical, biological, radiological, or nuclear weapons attacks or other infectious disease outbreaks. Subcommittee Members urged further investment into public health infrastructure.",,721,Joseph Lieberman,0,Orrin Hatch,0,Chuck Schumer,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",Subcommittee on Bioterrorism and Public Health Preparedness ,All-Hazards Medical Preparedness and Response,https://www.govinfo.gov/app/details/CHRG-109shrg27041/CHRG-109shrg27041,"April 5, 2006",2006-04-05,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions Subcommittee on Bioterrorism and Public Health Preparedness held a hearing to examine all-hazards emergency response capabilities. Members continued their discussion of the reauthorization of the Public Health, Security, and Bioterrorism Preparedness and Response Act of 2002. Among other topics, hearing discussion emphasized how federal agencies could support state and local preparedness.",,880,John Agwunobi,1,Ellen Embrey,1,Lawrence Deyton,1,Eddy Bresnitz,0,Thomas Inglesby,0,Richard Serino,0,Rob Gougelet,0,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",Subcommittee on Public Health,"Examining the Public Health Problem of Antimicrobial Resistance, or the Ability of Bacteria to Become Resistant to Antibiotics",https://www.google.com/books/edition/Antimicrobial_Resistance/ALQalUsS-8gC?hl=en&gbpv=0,"February 25, 1999",1999-02-25,Senate,R,Threat / risk awareness,"The Senate Committee on Health, Education, Labor and Pensions Subcommittee on Public Health examined the problem of antimicrobial resistance. Federal and private witnesses spoke to various aspects of the antimicrobial resistance problem and the global threat it posed. The issue was described by some witnesses as an epidemic and a pending pandemic that required attention.",,3330,David Satcher,1,Bernice Steinhardt,1,James Hughes,1,Anthony Fauci,1,Mary Gilchrist,0,Diane Dwyer,0,Stuart Levy,0,W. Gary Tarpley,0,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",Subcommittee on Public Health,"Bioterrorism: Our Frontline Response, Evaluating US Public Health and Medical Readiness",https://books.google.gm/books?id=wyQYVP3i7e4C&source=gbs_book_other_versions_r&cad=4,"March 25, 1999",1999-03-25,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions Subcommittee on Public Health held a hearing on bioterrorism defense, focusing on public health and medical readiness. Members examined the unique challenges a bioterrorist attack would pose and discussed strategies on outbreak containment and investigation. The Subcommittee also heard updates on the national pharmaceutical stockpile and on research and development.",,848,Margaret Hamburg,1,Jeffrey Koplan,1,William Clark,1,Donald Henderson,0,Richard Alcorta,0,John Bartlett,0,Stephanie Bailey,0,Jerome Hauer,0,Michael Osterholm,0,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",Subcommittee on Public Health,Effective Responses to the Threat of Bioterrorism,https://www.govinfo.gov/app/details/CHRG-107shrg75731/CHRG-107shrg75731,"October 9, 2001",2001-10-09,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions Subcommittee on Public Health held a hearing to examine response to bioterrorist threats such as infectious diseases. They focused on detection, treatment, and containment measures, and addressed how to improve response in each category. The Subcommittee also reflected on recent innovations and policy advances in bioterrorism preparedness. ",,850,Max Cleland,0,Chuck Hagel,0,Evan Bayh,0,Jon Corzine,0,Janet Heinrich,1,Donald Henderson,0,Michael Osterholm,0,Mohammad Akhter,0,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",,Homeland Security,https://www.govinfo.gov/app/details/CHRG-107shrg80875/CHRG-107shrg80875,"July 16, 2002",2002-07-16,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions held a hearing on the President's proposal to create a Department of Homeland Security (DHS), focusing on the effect this would have on public health preparedness programs in the federal government. The Committee heard from a federal witness. Conversation centered on various concerns about the proposed relocation of programs focused on medical countermeasure development, hospital preparedness, and public health emergency preparedness from the Department of Health and Human Services to DHS.",,3349,Tom Ridge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",,Severe Acute Respiratory Syndrome Threat,https://www.govinfo.gov/app/details/CHRG-108shrg86493/CHRG-108shrg86493,"April 7, 2003",2003-04-07,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions held a hearing to examine the severe acute respiratory syndrome (SARS) threat. The hearing focused on vaccine development, drug screening, and clinical research. Witnesses testified to U.S. capabilities to respond to the SARS outbreak. ",2003 SARS,859,Julie Gerberding,1,Anthony Fauci,1,David Heymann,0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",,Severe Acute Respiratory Syndrome (SARS),https://www.govinfo.gov/app/details/CHRG-108shrg86856/CHRG-108shrg86856,"April 29, 2003",2003-04-29,Senate,R,Threat / risk awareness,"The Senate Committee on Health, Education, Labor and Pensions held a hearing to examine the severe acute respiratory syndrome (SARS) threat. Members assessed knowledge about the disease and reflected on U.S. medical preparedness for SARS. The Committee considered effective methods of prevention and mitigation, focusing on Canada's response to contain SARS. ",2003 SARS,861,Julie Gerberding,1,James Young,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",,Federal Biodefense Readiness,https://www.govinfo.gov/app/details/CHRG-108shrg88681/CHRG-108shrg88681,"July 24, 2003",2003-07-24,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions held a hearing to examine federal biodefense readiness, focusing on the public health workforce. Members heard updates on the status of Centers for Disease Control and Prevention terrorism preparedness and emergency response activities, as well as the Emergency Communication System. The Committee also discussed smallpox preparedness, the Food and Drug Administration's role in counterterrorism activities, vulnerability and threat assessments, laboratory enhancements, research, Operation Liberty Shield, and development of the research infrastructure. ",,863,Julie Gerberding,1,Mark McClellan,1,Elias Zerhouni,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",,Enhancing Public Health and Medical Preparedness: Reauthorization of the Public Health Security and Bioterrorism Preparedness and Response Act,https://www.govinfo.gov/app/details/CHRG-109shrg26686/CHRG-109shrg26686,"March 16, 2006",2006-03-16,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions held a hearing to discuss the proposed reauthorization of Public Health Security and Bioterrorism Preparedness and Response Act. Members evaluated the effectiveness of government programs, focusing on how they had helped prepare for influenza and bioterrorism. ",,878,Michael Leavitt,1,Leah Devlin,0,A. Richard Melton,0,Richard Falkenrath,0,Dan Hanfling,0,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",,"Facing 21st Century Public Health Threats: Our Nation’s Preparedness and Response Capabilities, Part I",https://www.govinfo.gov/app/details/CHRG-115shrg28404/CHRG-115shrg28404,"January 17, 2018",2018-01-17,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions held a hearing on U.S. efforts to prepare for pandemics and other biological events, as the first in a series of two hearings. The Committee heard testimony from multiple officials from the Department of Health and Human Services. Discussion focused on the reauthorization of the Pandemic and All-Hazards Preparedness Act, U.S. investments in medical countermeasures and hospital preparedness, and U.S. assistance abroad to improve public health emergency preparedness.",,935,Robert Kadlec,1,Scott Gottlieb,1,Stephen Redd,1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senate Committee on Health, Education, Labor and Pensions (US)",,"Facing 21st Century Public Health Threats: Our Nation’s Preparedness and Response Capabilities, Part 2",https://www.govinfo.gov/app/details/CHRG-115shrg28514/CHRG-115shrg28514,"January 23, 2018",2018-01-23,Senate,R,Medical preparedness / emergency response,"The Senate Committee on Health, Education, Labor and Pensions held a hearing on U.S. efforts to prepare for pandemics and other biological events, the second in two-hearing series. The Committee heard testimony from a variety of experts and health practitioners outside of the federal government. Discussion focused on the reauthorization of the Pandemic and All-Hazards Preparedness Act; funding for hospitals; support for state and local health departments and public health surveillance; and the role of an all-hazards approach that addresses the delivery of health care during disaster situations.",,930,John Dreyzehner,0,Thomas Inglesby,0,Brent MacGregor,0,Steven Krug,0,,,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),"Ad Hoc Subcommittee on State, Local, and Private Sector Preparedness and Integration",Pandemic Influenza: State and Local Efforts to Prepare,https://www.govinfo.gov/app/details/CHRG-110shrg38847/CHRG-110shrg38847,"October 3, 2007",2007-10-03,Senate,D,Strategic planning,"The Senate Committee on Homeland Security and Governmental Affairs Ad Hoc Subcommittee on State, Local, and Private Sector Preparedness and Integration held a hearing on efforts by states and localities to prepare for pandemic influenza. The Subcommittee heard testimony from officials from the federal, state, and local governments. Conversation centered on the broad variety of federal departments and agencies involved in pandemic preparedness; constraints on local decision-makers who might need to act quickly with limited information, resources, and experience; and the value of partnerships between different levels of government.",,894,W. Craig Vanderwagen,1,B. Tilman Jolly,1,Paul Halverson,0,Christopher Pope,0,Yvonne Madlock,0,,,,,,,,,,,,,,,,,,,,,,
Senate Committee on Homeland Security and Governmental Affairs (US),"Ad Hoc Subcommittee on State, Local, and Private Sector Preparedness and Integration",Pandemic Flu: Closing the Gaps,https://www.govinfo.gov/app/details/CHRG-111shrg51781/CHRG-111shrg51781,"June 3, 2009",2009-06-03,Senate,D,Medical preparedness / emergency response,"The Senate Committee on Homeland Security and Governmental Affairs Ad Hoc Subcommittee on State, Local, and Private Sector Preparedness and Integration held a hearing on pandemic preparedness, with a focus on state and local health departments in the context of the H1N1 influenza pandemic. The Subcommittee heard testimony from  the Government Accountability Office as well as multiple individuals outside of the federal government with expertise in state governments and state health departments. Conversation centered on actions that the federal government could take to improve preparedness, as well as ways to improve coordination between levels of government and the private sector.",2009 H1N1,897,Bernice Steinhardt,1,Stephen Ostroff,0,John Thomasian,0,Paul Jarris,0,,,,,,,,,,,,,,,,,,,,,,,,
